evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
ARF,AER_ARF,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,AER_MultiModel,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,ShadowExpertModel_ARF,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,Standard_ARF,1,Agrawal_Function_0,ARFClassifier,74.74949899799599,74.74949899799599
ARF,AER_ARF,2,Agrawal_Function_6,Expert_1_ARFClassifier,77.75551102204409,76.25250501002004
ARF,AER_MultiModel,2,Agrawal_Function_6,Expert_1_ARFClassifier,77.75551102204409,76.25250501002004
ARF,ShadowExpertModel_ARF,2,Agrawal_Function_6,Expert_1_ARFClassifier,75.2,74.97497497497497
ARF,Standard_ARF,2,Agrawal_Function_6,ARFClassifier,68.4,71.57157157157157
ARF,AER_ARF,3,Agrawal_Function_0,Expert_2_ARFClassifier,82.76553106212425,78.42351369405478
ARF,AER_MultiModel,3,Agrawal_Function_0,Expert_1_ARFClassifier,71.0,74.49933244325769
ARF,ShadowExpertModel_ARF,3,Agrawal_Function_0,Expert_2_ARFClassifier,76.0,75.31687791861242
ARF,Standard_ARF,3,Agrawal_Function_0,ARFClassifier,67.80000000000001,70.31354236157439
ARF,AER_ARF,4,Agrawal_Function_6,Expert_3_ARFClassifier,81.56312625250501,79.20841683366734
ARF,AER_MultiModel,4,Agrawal_Function_6,Expert_2_ARFClassifier,78.95791583166333,75.6134201301953
ARF,ShadowExpertModel_ARF,4,Agrawal_Function_6,Expert_3_ARFClassifier,81.2,76.78839419709855
ARF,Standard_ARF,4,Agrawal_Function_6,ARFClassifier,71.2,70.53526763381691
ARF,AER_ARF,5,Agrawal_Function_0,Expert_4_ARFClassifier,91.58316633266533,81.68336673346694
ARF,AER_MultiModel,5,Agrawal_Function_0,Expert_3_ARFClassifier,81.76352705410822,76.84294871794873
ARF,ShadowExpertModel_ARF,5,Agrawal_Function_0,Expert_4_ARFClassifier,82.0,77.8311324529812
ARF,Standard_ARF,5,Agrawal_Function_0,ARFClassifier,69.6,70.34813925570228
ARF,AER_ARF,6,Agrawal_Function_6,Expert_5_ARFClassifier,79.95991983967936,81.39612558450234
ARF,AER_MultiModel,6,Agrawal_Function_6,Expert_4_ARFClassifier,79.75951903807615,77.3288814691152
ARF,ShadowExpertModel_ARF,6,Agrawal_Function_6,Expert_5_ARFClassifier,78.0,77.85928642880961
ARF,Standard_ARF,6,Agrawal_Function_6,ARFClassifier,69.6,70.22340780260087
