evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
HT,AER_HT,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,AER_MultiModel,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,ShadowExpertModel_HT,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,Standard_HT,1,Agrawal_Function_0,HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,AER_HT,2,Agrawal_Function_6,Expert_1_HoeffdingTreeClassifier,80.96192384769539,82.16432865731463
HT,AER_MultiModel,2,Agrawal_Function_6,Expert_1_HoeffdingTreeClassifier,80.96192384769539,82.16432865731463
HT,ShadowExpertModel_HT,2,Agrawal_Function_6,Expert_1_HoeffdingTreeClassifier,80.4,81.88188188188188
HT,Standard_HT,2,Agrawal_Function_6,HoeffdingTreeClassifier,71.2,77.27727727727728
HT,AER_HT,3,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,86.0,83.44459279038719
HT,AER_MultiModel,3,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,86.0,83.44459279038719
HT,ShadowExpertModel_HT,3,Agrawal_Function_0,Expert_2_HoeffdingTreeClassifier,82.39999999999999,82.05470313542361
HT,Standard_HT,3,Agrawal_Function_0,HoeffdingTreeClassifier,70.6,75.05003335557038
HT,AER_HT,4,Agrawal_Function_6,Expert_2_HoeffdingTreeClassifier,81.3627254509018,82.9243865798698
HT,AER_MultiModel,4,Agrawal_Function_6,Expert_2_HoeffdingTreeClassifier,81.3627254509018,82.9243865798698
HT,ShadowExpertModel_HT,4,Agrawal_Function_6,Expert_3_HoeffdingTreeClassifier,80.2,81.59079539769884
HT,Standard_HT,4,Agrawal_Function_6,HoeffdingTreeClassifier,79.60000000000001,76.18809404702351
HT,AER_HT,5,Agrawal_Function_0,Expert_3_HoeffdingTreeClassifier,82.76553106212425,82.8926282051282
HT,AER_MultiModel,5,Agrawal_Function_0,Expert_3_HoeffdingTreeClassifier,82.76553106212425,82.8926282051282
HT,ShadowExpertModel_HT,5,Agrawal_Function_0,Expert_4_HoeffdingTreeClassifier,82.39999999999999,81.75270108043217
HT,Standard_HT,5,Agrawal_Function_0,HoeffdingTreeClassifier,80.2,76.99079631852742
HT,AER_HT,6,Agrawal_Function_6,Expert_4_HoeffdingTreeClassifier,79.35871743486975,82.30383973288815
HT,AER_MultiModel,6,Agrawal_Function_6,Expert_4_HoeffdingTreeClassifier,79.35871743486975,82.30383973288815
HT,ShadowExpertModel_HT,6,Agrawal_Function_6,Expert_5_HoeffdingTreeClassifier,81.39999999999999,81.69389796598865
HT,Standard_HT,6,Agrawal_Function_6,HoeffdingTreeClassifier,74.6,76.59219739913304
