evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
NaiveBayes,AER_NaiveBayes,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,AER_MultiModel,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,ShadowExpertModel_NaiveBayes,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,Standard_NaiveBayes,1,Agrawal_Function_0,GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,AER_NaiveBayes,2,Agrawal_Function_6,Expert_1_GaussianNB,83.16633266533067,83.66733466933867
NaiveBayes,AER_MultiModel,2,Agrawal_Function_6,Expert_1_GaussianNB,83.16633266533067,83.66733466933867
NaiveBayes,ShadowExpertModel_NaiveBayes,2,Agrawal_Function_6,Expert_1_GaussianNB,83.6,83.88388388388388
NaiveBayes,Standard_NaiveBayes,2,Agrawal_Function_6,GaussianNB,71.2,77.67767767767768
NaiveBayes,AER_NaiveBayes,3,Agrawal_Function_0,Expert_2_GaussianNB,83.16633266533067,83.500334001336
NaiveBayes,AER_MultiModel,3,Agrawal_Function_0,Expert_2_GaussianNB,83.16633266533067,83.500334001336
NaiveBayes,ShadowExpertModel_NaiveBayes,3,Agrawal_Function_0,Expert_2_GaussianNB,83.6,83.7891927951968
NaiveBayes,Standard_NaiveBayes,3,Agrawal_Function_0,GaussianNB,70.6,75.31687791861242
NaiveBayes,AER_NaiveBayes,4,Agrawal_Function_6,Expert_3_GaussianNB,82.76553106212425,83.31663326653307
NaiveBayes,AER_MultiModel,4,Agrawal_Function_6,Expert_3_GaussianNB,82.76553106212425,83.31663326653307
NaiveBayes,ShadowExpertModel_NaiveBayes,4,Agrawal_Function_6,Expert_3_GaussianNB,82.8,83.54177088544273
NaiveBayes,Standard_NaiveBayes,4,Agrawal_Function_6,GaussianNB,79.60000000000001,76.38819409704853
NaiveBayes,AER_NaiveBayes,5,Agrawal_Function_0,Expert_4_GaussianNB,83.16633266533067,83.28657314629258
NaiveBayes,AER_MultiModel,5,Agrawal_Function_0,Expert_4_GaussianNB,83.16633266533067,83.28657314629258
NaiveBayes,ShadowExpertModel_NaiveBayes,5,Agrawal_Function_0,Expert_4_GaussianNB,83.39999999999999,83.51340536214485
NaiveBayes,Standard_NaiveBayes,5,Agrawal_Function_0,GaussianNB,66.8,74.46978791516607
NaiveBayes,AER_NaiveBayes,6,Agrawal_Function_6,Expert_5_GaussianNB,82.76553106212425,83.1997327989312
NaiveBayes,AER_MultiModel,6,Agrawal_Function_6,Expert_5_GaussianNB,82.76553106212425,83.1997327989312
NaiveBayes,ShadowExpertModel_NaiveBayes,6,Agrawal_Function_6,Expert_5_GaussianNB,83.0,83.42780926975658
NaiveBayes,Standard_NaiveBayes,6,Agrawal_Function_6,GaussianNB,81.39999999999999,75.62520840280094
