evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
SRP,AER_SRP,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,AER_MultiModel,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,ShadowExpertModel_SRP,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,Standard_SRP,1,Agrawal_Function_0,SRPClassifier,94.58917835671342,94.58917835671342
SRP,AER_SRP,2,Agrawal_Function_6,Expert_1_SRPClassifier,73.74749498997996,84.16833667334669
SRP,AER_MultiModel,2,Agrawal_Function_6,Expert_1_SRPClassifier,73.74749498997996,84.16833667334669
SRP,ShadowExpertModel_SRP,2,Agrawal_Function_6,Expert_1_SRPClassifier,76.8,85.68568568568568
SRP,Standard_SRP,2,Agrawal_Function_6,SRPClassifier,76.0,85.28528528528528
SRP,AER_SRP,3,Agrawal_Function_0,Expert_2_SRPClassifier,92.38476953907816,86.90714762859052
SRP,AER_MultiModel,3,Agrawal_Function_0,Expert_2_SRPClassifier,92.38476953907816,86.90714762859052
SRP,ShadowExpertModel_SRP,3,Agrawal_Function_0,Expert_2_SRPClassifier,93.2,88.19212808539027
SRP,Standard_SRP,3,Agrawal_Function_0,SRPClassifier,82.0,84.18945963975985
SRP,AER_SRP,4,Agrawal_Function_6,Expert_3_SRPClassifier,76.75350701402806,84.3687374749499
SRP,AER_MultiModel,4,Agrawal_Function_6,Expert_3_SRPClassifier,76.75350701402806,84.3687374749499
SRP,ShadowExpertModel_SRP,4,Agrawal_Function_6,Expert_3_SRPClassifier,74.6,84.79239619809906
SRP,Standard_SRP,4,Agrawal_Function_6,SRPClassifier,75.2,81.94097048524263
SRP,AER_SRP,5,Agrawal_Function_0,Expert_4_SRPClassifier,94.38877755511022,86.37274549098196
SRP,AER_MultiModel,5,Agrawal_Function_0,Expert_4_SRPClassifier,94.38877755511022,86.37274549098196
SRP,ShadowExpertModel_SRP,5,Agrawal_Function_0,Expert_3_SRPClassifier,89.60000000000001,85.75430172068828
SRP,Standard_SRP,5,Agrawal_Function_0,SRPClassifier,80.0,81.55262104841937
SRP,AER_SRP,6,Agrawal_Function_6,Expert_5_SRPClassifier,76.95390781563127,84.80293921175685
SRP,AER_MultiModel,6,Agrawal_Function_6,Expert_5_SRPClassifier,76.95390781563127,84.80293921175685
SRP,ShadowExpertModel_SRP,6,Agrawal_Function_6,Expert_4_SRPClassifier,75.0,83.96132044014671
SRP,Standard_SRP,6,Agrawal_Function_6,SRPClassifier,61.199999999999996,78.15938646215406
