evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
ARF,AER_ARF,1,RandomTree_42,Expert_0_ARFClassifier,73.74749498997996,73.74749498997996
ARF,AER_MultiModel,1,RandomTree_42,Expert_0_ARFClassifier,73.74749498997996,73.74749498997996
ARF,ShadowExpertModel_ARF,1,RandomTree_42,Expert_0_ARFClassifier,73.74749498997996,73.74749498997996
ARF,Standard_ARF,1,RandomTree_42,ARFClassifier,73.74749498997996,73.74749498997996
ARF,AER_ARF,2,RandomTree_99,Expert_2_ARFClassifier,51.302605210420836,62.525050100200396
ARF,AER_MultiModel,2,RandomTree_99,Expert_2_ARFClassifier,51.302605210420836,62.525050100200396
ARF,ShadowExpertModel_ARF,2,RandomTree_99,Expert_1_ARFClassifier,56.39999999999999,65.06506506506507
ARF,Standard_ARF,2,RandomTree_99,ARFClassifier,49.8,61.76176176176176
ARF,AER_ARF,3,RandomTree_123,Expert_2_ARFClassifier,61.199999999999996,62.082777036048064
ARF,AER_MultiModel,3,RandomTree_123,Expert_2_ARFClassifier,61.199999999999996,62.082777036048064
ARF,ShadowExpertModel_ARF,3,RandomTree_123,Expert_1_ARFClassifier,59.8,63.30887258172114
ARF,Standard_ARF,3,RandomTree_123,ARFClassifier,60.8,61.44096064042696
ARF,AER_ARF,4,RandomTree_42,Expert_2_ARFClassifier,65.8,63.01301301301301
ARF,AER_MultiModel,4,RandomTree_42,Expert_2_ARFClassifier,65.8,63.01301301301301
ARF,ShadowExpertModel_ARF,4,RandomTree_42,Expert_1_ARFClassifier,65.0,63.73186593296648
ARF,Standard_ARF,4,RandomTree_42,ARFClassifier,71.8,64.032016008004
ARF,AER_ARF,5,RandomTree_99,Expert_2_ARFClassifier,54.2,61.24899919935949
ARF,AER_MultiModel,5,RandomTree_99,Expert_2_ARFClassifier,54.2,61.24899919935949
ARF,ShadowExpertModel_ARF,5,RandomTree_99,Expert_1_ARFClassifier,59.199999999999996,62.8251300520208
ARF,Standard_ARF,5,RandomTree_99,ARFClassifier,60.6,63.3453381352541
ARF,AER_ARF,6,RandomTree_123,Expert_2_ARFClassifier,64.60000000000001,61.807871914609734
ARF,AER_MultiModel,6,RandomTree_123,Expert_2_ARFClassifier,64.60000000000001,61.807871914609734
ARF,ShadowExpertModel_ARF,6,RandomTree_123,Expert_1_ARFClassifier,61.6,62.62087362454152
ARF,Standard_ARF,6,RandomTree_123,ARFClassifier,70.19999999999999,64.48816272090697
