evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
HT,AER_HT,1,RandomTree_42,Expert_0_HoeffdingTreeClassifier,70.54108216432866,70.54108216432866
HT,AER_MultiModel,1,RandomTree_42,Expert_0_HoeffdingTreeClassifier,70.54108216432866,70.54108216432866
HT,ShadowExpertModel_HT,1,RandomTree_42,Expert_0_HoeffdingTreeClassifier,70.54108216432866,70.54108216432866
HT,Standard_HT,1,RandomTree_42,HoeffdingTreeClassifier,70.54108216432866,70.54108216432866
HT,AER_HT,2,RandomTree_99,Expert_1_HoeffdingTreeClassifier,54.6,62.56256256256256
HT,AER_MultiModel,2,RandomTree_99,Expert_1_HoeffdingTreeClassifier,54.6,62.56256256256256
HT,ShadowExpertModel_HT,2,RandomTree_99,Expert_1_HoeffdingTreeClassifier,53.6,62.06206206206206
HT,Standard_HT,2,RandomTree_99,HoeffdingTreeClassifier,51.4,60.96096096096096
HT,AER_HT,3,RandomTree_123,Expert_1_HoeffdingTreeClassifier,61.6,62.241494329553035
HT,AER_MultiModel,3,RandomTree_123,Expert_1_HoeffdingTreeClassifier,61.6,62.241494329553035
HT,ShadowExpertModel_HT,3,RandomTree_123,Expert_1_HoeffdingTreeClassifier,60.6,61.574382921947965
HT,Standard_HT,3,RandomTree_123,HoeffdingTreeClassifier,58.4,60.10673782521682
HT,AER_HT,4,RandomTree_42,Expert_1_HoeffdingTreeClassifier,59.599999999999994,61.5807903951976
HT,AER_MultiModel,4,RandomTree_42,Expert_1_HoeffdingTreeClassifier,59.599999999999994,61.5807903951976
HT,ShadowExpertModel_HT,4,RandomTree_42,Expert_1_HoeffdingTreeClassifier,62.2,61.73086543271636
HT,Standard_HT,4,RandomTree_42,HoeffdingTreeClassifier,70.6,62.73136568284142
HT,AER_HT,5,RandomTree_99,Expert_1_HoeffdingTreeClassifier,58.8,61.02440976390556
HT,AER_MultiModel,5,RandomTree_99,Expert_1_HoeffdingTreeClassifier,58.8,61.02440976390556
HT,ShadowExpertModel_HT,5,RandomTree_99,Expert_1_HoeffdingTreeClassifier,55.60000000000001,60.50420168067227
HT,Standard_HT,5,RandomTree_99,HoeffdingTreeClassifier,56.39999999999999,61.46458583433373
HT,AER_HT,6,RandomTree_123,Expert_1_HoeffdingTreeClassifier,65.60000000000001,61.78726242080693
HT,AER_MultiModel,6,RandomTree_123,Expert_1_HoeffdingTreeClassifier,65.60000000000001,61.78726242080693
HT,ShadowExpertModel_HT,6,RandomTree_123,Expert_1_HoeffdingTreeClassifier,64.0,61.08702900966989
HT,Standard_HT,6,RandomTree_123,HoeffdingTreeClassifier,62.6,61.6538846282094
