evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
NaiveBayes,AER_NaiveBayes,1,RandomTree_42,Expert_0_GaussianNB,71.9438877755511,71.9438877755511
NaiveBayes,AER_MultiModel,1,RandomTree_42,Expert_0_GaussianNB,71.9438877755511,71.9438877755511
NaiveBayes,ShadowExpertModel_NaiveBayes,1,RandomTree_42,Expert_0_GaussianNB,71.9438877755511,71.9438877755511
NaiveBayes,Standard_NaiveBayes,1,RandomTree_42,GaussianNB,71.9438877755511,71.9438877755511
NaiveBayes,AER_NaiveBayes,2,RandomTree_99,Expert_2_GaussianNB,52.30460921843687,62.124248496993985
NaiveBayes,AER_MultiModel,2,RandomTree_99,Expert_1_GaussianNB,52.104208416833664,62.02404809619239
NaiveBayes,ShadowExpertModel_NaiveBayes,2,RandomTree_99,Expert_1_GaussianNB,54.6,63.263263263263255
NaiveBayes,Standard_NaiveBayes,2,RandomTree_99,GaussianNB,51.4,61.66166166166166
NaiveBayes,AER_NaiveBayes,3,RandomTree_123,Expert_2_GaussianNB,63.6,62.616822429906534
NaiveBayes,AER_MultiModel,3,RandomTree_123,Expert_1_GaussianNB,61.199999999999996,61.748998664886514
NaiveBayes,ShadowExpertModel_NaiveBayes,3,RandomTree_123,Expert_1_GaussianNB,61.0,62.50833889259506
NaiveBayes,Standard_NaiveBayes,3,RandomTree_123,GaussianNB,58.4,60.573715810540364
NaiveBayes,AER_NaiveBayes,4,RandomTree_42,Expert_2_GaussianNB,61.8,62.41241241241241
NaiveBayes,AER_MultiModel,4,RandomTree_42,Expert_1_GaussianNB,63.2,62.112112112112115
NaiveBayes,ShadowExpertModel_NaiveBayes,4,RandomTree_42,Expert_1_GaussianNB,61.8,62.33116558279139
NaiveBayes,Standard_NaiveBayes,4,RandomTree_42,GaussianNB,70.6,63.08154077038519
NaiveBayes,AER_NaiveBayes,5,RandomTree_99,Expert_2_GaussianNB,54.800000000000004,60.888710968775015
NaiveBayes,AER_MultiModel,5,RandomTree_99,Expert_1_GaussianNB,55.400000000000006,60.76861489191353
NaiveBayes,ShadowExpertModel_NaiveBayes,5,RandomTree_99,Expert_1_GaussianNB,56.00000000000001,61.06442577030813
NaiveBayes,Standard_NaiveBayes,5,RandomTree_99,GaussianNB,56.39999999999999,61.74469787915166
NaiveBayes,AER_NaiveBayes,6,RandomTree_123,Expert_2_GaussianNB,68.2,62.10807204803203
NaiveBayes,AER_MultiModel,6,RandomTree_123,Expert_1_GaussianNB,64.60000000000001,61.4076050700467
NaiveBayes,ShadowExpertModel_NaiveBayes,6,RandomTree_123,Expert_1_GaussianNB,64.0,61.553851283761254
NaiveBayes,Standard_NaiveBayes,6,RandomTree_123,GaussianNB,62.6,61.88729576525509
