evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
SRP,AER_SRP,1,RandomTree_42,Expert_0_SRPClassifier,69.73947895791584,69.73947895791584
SRP,AER_MultiModel,1,RandomTree_42,Expert_0_SRPClassifier,69.73947895791584,69.73947895791584
SRP,ShadowExpertModel_SRP,1,RandomTree_42,Expert_0_SRPClassifier,69.73947895791584,69.73947895791584
SRP,Standard_SRP,1,RandomTree_42,SRPClassifier,69.73947895791584,69.73947895791584
SRP,AER_SRP,2,RandomTree_99,Expert_0_SRPClassifier,59.599999999999994,64.66466466466466
SRP,AER_MultiModel,2,RandomTree_99,Expert_0_SRPClassifier,59.599999999999994,64.66466466466466
SRP,ShadowExpertModel_SRP,2,RandomTree_99,Expert_0_SRPClassifier,59.599999999999994,64.66466466466466
SRP,Standard_SRP,2,RandomTree_99,SRPClassifier,59.599999999999994,64.66466466466466
SRP,AER_SRP,3,RandomTree_123,Expert_1_SRPClassifier,57.99999999999999,62.44162775183456
SRP,AER_MultiModel,3,RandomTree_123,Expert_1_SRPClassifier,57.99999999999999,62.44162775183456
SRP,ShadowExpertModel_SRP,3,RandomTree_123,Expert_1_SRPClassifier,61.8,63.70913942628419
SRP,Standard_SRP,3,RandomTree_123,SRPClassifier,56.8,62.04136090727152
SRP,AER_SRP,4,RandomTree_42,Expert_1_SRPClassifier,58.599999999999994,61.480740370185096
SRP,AER_MultiModel,4,RandomTree_42,Expert_1_SRPClassifier,58.599999999999994,61.480740370185096
SRP,ShadowExpertModel_SRP,4,RandomTree_42,Expert_1_SRPClassifier,62.8,63.481740870435225
SRP,Standard_SRP,4,RandomTree_42,SRPClassifier,65.4,62.88144072036018
SRP,AER_SRP,5,RandomTree_99,Expert_1_SRPClassifier,64.2,62.02480992396959
SRP,AER_MultiModel,5,RandomTree_99,Expert_1_SRPClassifier,64.2,62.02480992396959
SRP,ShadowExpertModel_SRP,5,RandomTree_99,Expert_3_SRPClassifier,50.6,60.90436174469788
SRP,Standard_SRP,5,RandomTree_99,SRPClassifier,67.0,63.70548219287715
SRP,AER_SRP,6,RandomTree_123,Expert_1_SRPClassifier,68.2,63.054351450483495
SRP,AER_MultiModel,6,RandomTree_123,Expert_1_SRPClassifier,68.2,63.054351450483495
SRP,ShadowExpertModel_SRP,6,RandomTree_123,Expert_3_SRPClassifier,67.0,61.92064021340447
SRP,Standard_SRP,6,RandomTree_123,SRPClassifier,72.39999999999999,65.15505168389463
