evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
ARF,AER_ARF,1,Real_Elec2,Expert_3_ARFClassifier,88.75502008032129,88.75502008032129
ARF,AER_MultiModel,1,Real_Elec2,Expert_3_ARFClassifier,88.75502008032129,88.75502008032129
ARF,ShadowExpertModel_ARF,1,Real_Elec2,Expert_2_ARFClassifier,87.28728728728728,87.28728728728728
ARF,AER_ARF,2,Real_Elec2,Expert_3_ARFClassifier,91.60000000000001,90.18036072144288
ARF,AER_MultiModel,2,Real_Elec2,Expert_3_ARFClassifier,91.60000000000001,90.18036072144288
ARF,ShadowExpertModel_ARF,2,Real_Elec2,Expert_2_ARFClassifier,92.60000000000001,89.94497248624313
ARF,AER_ARF,3,Real_Elec2,Expert_4_ARFClassifier,89.38938938938938,89.91652754590986
ARF,AER_MultiModel,3,Real_Elec2,Expert_4_ARFClassifier,89.38938938938938,89.91652754590986
ARF,ShadowExpertModel_ARF,3,Real_Elec2,Expert_3_ARFClassifier,89.4,89.76325441813938
ARF,AER_ARF,4,Real_Elec2,Expert_4_ARFClassifier,90.4,90.03754693366707
ARF,AER_MultiModel,4,Real_Elec2,Expert_4_ARFClassifier,90.4,90.03754693366707
ARF,ShadowExpertModel_ARF,4,Real_Elec2,Expert_3_ARFClassifier,91.0,90.07251812953238
ARF,AER_ARF,5,Real_Elec2,Expert_4_ARFClassifier,89.60000000000001,89.94994994994995
ARF,AER_MultiModel,5,Real_Elec2,Expert_4_ARFClassifier,89.60000000000001,89.94994994994995
ARF,ShadowExpertModel_ARF,5,Real_Elec2,Expert_3_ARFClassifier,90.10000000000001,90.07801560312062
ARF,AER_ARF,6,Real_Elec2,Expert_4_ARFClassifier,88.5,89.70809007506256
ARF,AER_MultiModel,6,Real_Elec2,Expert_4_ARFClassifier,88.5,89.70809007506256
ARF,ShadowExpertModel_ARF,6,Real_Elec2,Expert_3_ARFClassifier,88.7,89.84830805134189
ARF,AER_ARF,7,Real_Elec2,Expert_4_ARFClassifier,90.2,89.77841315225162
ARF,AER_MultiModel,7,Real_Elec2,Expert_4_ARFClassifier,90.2,89.77841315225162
ARF,ShadowExpertModel_ARF,7,Real_Elec2,Expert_3_ARFClassifier,89.8,89.84140591513074
ARF,AER_ARF,8,Real_Elec2,Expert_4_ARFClassifier,89.60000000000001,89.75609756097562
ARF,AER_MultiModel,8,Real_Elec2,Expert_4_ARFClassifier,89.60000000000001,89.75609756097562
ARF,ShadowExpertModel_ARF,8,Real_Elec2,Expert_3_ARFClassifier,88.4,89.66120765095637
ARF,AER_ARF,9,Real_Elec2,Expert_4_ARFClassifier,91.5,89.94997220678155
ARF,AER_MultiModel,9,Real_Elec2,Expert_4_ARFClassifier,91.5,89.94997220678155
ARF,ShadowExpertModel_ARF,9,Real_Elec2,Expert_3_ARFClassifier,90.5,89.75441715746194
ARF,AER_ARF,10,Real_Elec2,Expert_4_ARFClassifier,88.6,89.81490745372686
ARF,AER_MultiModel,10,Real_Elec2,Expert_4_ARFClassifier,88.6,89.81490745372686
ARF,ShadowExpertModel_ARF,10,Real_Elec2,Expert_3_ARFClassifier,89.4,89.71897189718972
