evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
HT,AER_HT,1,Real_Elec2,Expert_2_HoeffdingTreeClassifier,86.8605817452357,86.8605817452357
HT,AER_MultiModel,1,Real_Elec2,Expert_2_HoeffdingTreeClassifier,86.8605817452357,86.8605817452357
HT,ShadowExpertModel_HT,1,Real_Elec2,Expert_4_HoeffdingTreeClassifier,85.88588588588588,85.88588588588588
HT,AER_HT,2,Real_Elec2,Expert_4_HoeffdingTreeClassifier,87.68768768768768,87.2745490981964
HT,AER_MultiModel,2,Real_Elec2,Expert_7_HoeffdingTreeClassifier,87.68768768768768,87.2745490981964
HT,ShadowExpertModel_HT,2,Real_Elec2,Expert_7_HoeffdingTreeClassifier,89.9,87.89394697348675
HT,AER_HT,3,Real_Elec2,Expert_7_HoeffdingTreeClassifier,83.85155466399198,86.1343133979285
HT,AER_MultiModel,3,Real_Elec2,Expert_10_HoeffdingTreeClassifier,83.85155466399198,86.1343133979285
HT,ShadowExpertModel_HT,3,Real_Elec2,Expert_7_HoeffdingTreeClassifier,87.8,87.86262087362454
HT,AER_HT,4,Real_Elec2,Expert_8_HoeffdingTreeClassifier,89.8,87.05234159779614
HT,AER_MultiModel,4,Real_Elec2,Expert_11_HoeffdingTreeClassifier,89.8,87.05234159779614
HT,ShadowExpertModel_HT,4,Real_Elec2,Expert_7_HoeffdingTreeClassifier,88.8,88.09702425606402
HT,AER_HT,5,Real_Elec2,Expert_11_HoeffdingTreeClassifier,86.77354709418837,86.99659386896414
HT,AER_MultiModel,5,Real_Elec2,Expert_20_HoeffdingTreeClassifier,86.77354709418837,86.99659386896414
HT,ShadowExpertModel_HT,5,Real_Elec2,Expert_7_HoeffdingTreeClassifier,85.5,87.57751550310063
HT,AER_HT,6,Real_Elec2,Expert_4_HoeffdingTreeClassifier,86.57314629258516,86.92603105693772
HT,AER_MultiModel,6,Real_Elec2,Expert_24_ARFClassifier,86.67334669338678,86.94272833528134
HT,ShadowExpertModel_HT,6,Real_Elec2,Expert_7_HoeffdingTreeClassifier,80.60000000000001,86.41440240040006
HT,AER_HT,7,Real_Elec2,Expert_16_HoeffdingTreeClassifier,88.86659979939819,87.20297738333811
HT,AER_MultiModel,7,Real_Elec2,Expert_30_HoeffdingTreeClassifier,86.64658634538152,86.90050107372942
HT,ShadowExpertModel_HT,7,Real_Elec2,Expert_9_HoeffdingTreeClassifier,83.39999999999999,85.98371195885126
HT,AER_HT,8,Real_Elec2,Expert_18_HoeffdingTreeClassifier,86.87374749498998,87.1618236472946
HT,AER_MultiModel,8,Real_Elec2,Expert_34_SRPClassifier,85.28528528528528,86.69839679358718
HT,ShadowExpertModel_HT,8,Real_Elec2,Expert_10_HoeffdingTreeClassifier,86.7,86.07325915739467
HT,AER_HT,9,Real_Elec2,Expert_18_HoeffdingTreeClassifier,90.2,87.5
HT,AER_MultiModel,9,Real_Elec2,Expert_42_HoeffdingTreeClassifier,89.86960882647944,87.05043981739227
HT,ShadowExpertModel_HT,9,Real_Elec2,Expert_10_HoeffdingTreeClassifier,90.2,86.53183687076343
HT,AER_HT,10,Real_Elec2,Expert_20_HoeffdingTreeClassifier,85.4854854854855,87.29840729239707
HT,AER_MultiModel,10,Real_Elec2,Expert_42_HoeffdingTreeClassifier,85.9,86.93517683598839
HT,ShadowExpertModel_HT,10,Real_Elec2,Expert_10_HoeffdingTreeClassifier,83.2,86.1986198619862
