evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
NaiveBayes,AER_NaiveBayes,1,Real_Elec2,Expert_4_GaussianNB,85.52763819095478,85.52763819095478
NaiveBayes,AER_MultiModel,1,Real_Elec2,Expert_4_GaussianNB,85.52763819095478,85.52763819095478
NaiveBayes,ShadowExpertModel_NaiveBayes,1,Real_Elec2,Expert_4_GaussianNB,86.08608608608608,86.08608608608608
NaiveBayes,AER_NaiveBayes,2,Real_Elec2,Expert_7_GaussianNB,90.07021063189569,87.80120481927712
NaiveBayes,AER_MultiModel,2,Real_Elec2,Expert_7_GaussianNB,90.07021063189569,87.80120481927712
NaiveBayes,ShadowExpertModel_NaiveBayes,2,Real_Elec2,Expert_7_GaussianNB,90.3,88.19409704852427
NaiveBayes,AER_NaiveBayes,3,Real_Elec2,Expert_11_GaussianNB,81.72690763052208,85.7764390896921
NaiveBayes,AER_MultiModel,3,Real_Elec2,Expert_11_GaussianNB,81.72690763052208,85.7764390896921
NaiveBayes,ShadowExpertModel_NaiveBayes,3,Real_Elec2,Expert_12_GaussianNB,82.39999999999999,86.26208736245415
NaiveBayes,AER_NaiveBayes,4,Real_Elec2,Expert_13_GaussianNB,85.38538538538538,85.6784549786807
NaiveBayes,AER_MultiModel,4,Real_Elec2,Expert_16_GaussianNB,85.38538538538538,85.6784549786807
NaiveBayes,ShadowExpertModel_NaiveBayes,4,Real_Elec2,Expert_14_GaussianNB,86.3,86.27156789197299
NaiveBayes,AER_NaiveBayes,5,Real_Elec2,Expert_13_GaussianNB,84.3,85.40204531782635
NaiveBayes,AER_MultiModel,5,Real_Elec2,Expert_16_GaussianNB,84.3,85.40204531782635
NaiveBayes,ShadowExpertModel_NaiveBayes,5,Real_Elec2,Expert_14_GaussianNB,84.39999999999999,85.89717943588717
NaiveBayes,AER_NaiveBayes,6,Real_Elec2,Expert_13_GaussianNB,77.10000000000001,84.01536662769334
NaiveBayes,AER_MultiModel,6,Real_Elec2,Expert_19_SRPClassifier,77.7,84.11558376482378
NaiveBayes,ShadowExpertModel_NaiveBayes,6,Real_Elec2,Expert_15_GaussianNB,77.8,84.54742457076179
NaiveBayes,AER_NaiveBayes,7,Real_Elec2,Expert_16_GaussianNB,86.35907723169508,84.34994272623139
NaiveBayes,AER_MultiModel,7,Real_Elec2,Expert_23_GaussianNB,86.45937813440321,84.45017182130584
NaiveBayes,ShadowExpertModel_NaiveBayes,7,Real_Elec2,Expert_18_GaussianNB,85.39999999999999,84.66923846263752
NaiveBayes,AER_NaiveBayes,8,Real_Elec2,Expert_18_GaussianNB,83.06613226452906,84.18942620897019
NaiveBayes,AER_MultiModel,8,Real_Elec2,Expert_25_ARFClassifier,88.8,84.99498997995993
NaiveBayes,ShadowExpertModel_NaiveBayes,8,Real_Elec2,Expert_19_GaussianNB,83.8,84.56057007125891
NaiveBayes,AER_NaiveBayes,9,Real_Elec2,Expert_18_GaussianNB,88.4,84.65820529948786
NaiveBayes,AER_MultiModel,9,Real_Elec2,Expert_25_ARFClassifier,91.60000000000001,85.73018699910952
NaiveBayes,ShadowExpertModel_NaiveBayes,9,Real_Elec2,Expert_19_GaussianNB,86.8,84.80942326925214
NaiveBayes,AER_NaiveBayes,10,Real_Elec2,Expert_18_GaussianNB,83.0,84.49208575435784
NaiveBayes,AER_MultiModel,10,Real_Elec2,Expert_25_ARFClassifier,89.7,86.12780448717949
NaiveBayes,ShadowExpertModel_NaiveBayes,10,Real_Elec2,Expert_19_GaussianNB,82.8,84.60846084608461
