evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
SRP,AER_SRP,1,Real_Elec2,Expert_1_SRPClassifier,89.07815631262524,89.07815631262524
SRP,AER_MultiModel,1,Real_Elec2,Expert_1_SRPClassifier,89.07815631262524,89.07815631262524
SRP,ShadowExpertModel_SRP,1,Real_Elec2,Expert_1_SRPClassifier,88.88888888888889,88.88888888888889
SRP,AER_SRP,2,Real_Elec2,Expert_1_SRPClassifier,91.60000000000001,90.34034034034035
SRP,AER_MultiModel,2,Real_Elec2,Expert_1_SRPClassifier,91.60000000000001,90.34034034034035
SRP,ShadowExpertModel_SRP,2,Real_Elec2,Expert_1_SRPClassifier,91.4,90.14507253626813
SRP,AER_SRP,3,Real_Elec2,Expert_1_SRPClassifier,88.5,89.72648432288192
SRP,AER_MultiModel,3,Real_Elec2,Expert_1_SRPClassifier,88.5,89.72648432288192
SRP,ShadowExpertModel_SRP,3,Real_Elec2,Expert_1_SRPClassifier,87.9,89.39646548849616
SRP,AER_SRP,4,Real_Elec2,Expert_1_SRPClassifier,90.60000000000001,89.94497248624313
SRP,AER_MultiModel,4,Real_Elec2,Expert_1_SRPClassifier,90.60000000000001,89.94497248624313
SRP,ShadowExpertModel_SRP,4,Real_Elec2,Expert_1_SRPClassifier,89.0,89.29732433108278
SRP,AER_SRP,5,Real_Elec2,Expert_1_SRPClassifier,86.8,89.31572629051621
SRP,AER_MultiModel,5,Real_Elec2,Expert_1_SRPClassifier,86.8,89.31572629051621
SRP,ShadowExpertModel_SRP,5,Real_Elec2,Expert_1_SRPClassifier,87.1,88.85777155431086
SRP,AER_SRP,6,Real_Elec2,Expert_1_SRPClassifier,88.3,89.14638212737579
SRP,AER_MultiModel,6,Real_Elec2,Expert_1_SRPClassifier,88.3,89.14638212737579
SRP,ShadowExpertModel_SRP,6,Real_Elec2,Expert_3_SRPClassifier,87.7,88.66477746291048
SRP,AER_SRP,7,Real_Elec2,Expert_1_SRPClassifier,86.3,88.73963989711346
SRP,AER_MultiModel,7,Real_Elec2,Expert_1_SRPClassifier,86.3,88.73963989711346
SRP,ShadowExpertModel_SRP,7,Real_Elec2,Expert_7_SRPClassifier,85.6,88.22688955565081
SRP,AER_SRP,8,Real_Elec2,Expert_1_SRPClassifier,86.0,88.3970992748187
SRP,AER_MultiModel,8,Real_Elec2,Expert_1_SRPClassifier,86.0,88.3970992748187
SRP,ShadowExpertModel_SRP,8,Real_Elec2,Expert_8_SRPClassifier,88.6,88.27353419177398
SRP,AER_SRP,9,Real_Elec2,Expert_1_SRPClassifier,90.7,88.65303400755722
SRP,AER_MultiModel,9,Real_Elec2,Expert_1_SRPClassifier,90.7,88.65303400755722
SRP,ShadowExpertModel_SRP,9,Real_Elec2,Expert_8_SRPClassifier,89.8,88.44316035115013
SRP,AER_SRP,10,Real_Elec2,Expert_1_SRPClassifier,89.8,88.76775355071014
SRP,AER_MultiModel,10,Real_Elec2,Expert_1_SRPClassifier,89.8,88.76775355071014
SRP,ShadowExpertModel_SRP,10,Real_Elec2,Expert_8_SRPClassifier,90.0,88.5988598859886
