evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
ARF,AER_ARF,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,AER_MultiModel,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,ShadowExpertModel_ARF,1,Agrawal_Function_0,Expert_0_ARFClassifier,74.74949899799599,74.74949899799599
ARF,AER_ARF,2,Agrawal_Function_6,Expert_0_ARFClassifier,68.4,71.57157157157157
ARF,AER_MultiModel,2,Agrawal_Function_6,Expert_0_ARFClassifier,68.4,71.57157157157157
ARF,ShadowExpertModel_ARF,2,Agrawal_Function_6,Expert_0_ARFClassifier,68.4,71.57157157157157
ARF,AER_ARF,3,Agrawal_Function_0,Expert_0_ARFClassifier,67.80000000000001,70.31354236157439
ARF,AER_MultiModel,3,Agrawal_Function_0,Expert_0_ARFClassifier,67.80000000000001,70.31354236157439
ARF,ShadowExpertModel_ARF,3,Agrawal_Function_0,Expert_0_ARFClassifier,67.80000000000001,70.31354236157439
ARF,AER_ARF,4,Agrawal_Function_6,Expert_0_ARFClassifier,71.2,70.53526763381691
ARF,AER_MultiModel,4,Agrawal_Function_6,Expert_0_ARFClassifier,71.2,70.53526763381691
ARF,ShadowExpertModel_ARF,4,Agrawal_Function_6,Expert_0_ARFClassifier,71.2,70.53526763381691
ARF,AER_ARF,5,Agrawal_Function_0,Expert_0_ARFClassifier,69.6,70.34813925570228
ARF,AER_MultiModel,5,Agrawal_Function_0,Expert_0_ARFClassifier,69.6,70.34813925570228
ARF,ShadowExpertModel_ARF,5,Agrawal_Function_0,Expert_0_ARFClassifier,69.6,70.34813925570228
ARF,AER_ARF,6,Agrawal_Function_6,Expert_0_ARFClassifier,69.6,70.22340780260087
ARF,AER_MultiModel,6,Agrawal_Function_6,Expert_0_ARFClassifier,69.6,70.22340780260087
ARF,ShadowExpertModel_ARF,6,Agrawal_Function_6,Expert_0_ARFClassifier,69.6,70.22340780260087
