evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
HT,AER_HT,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,AER_MultiModel,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,ShadowExpertModel_HT,1,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,83.36673346693387,83.36673346693387
HT,AER_HT,2,Agrawal_Function_6,Expert_2_HoeffdingTreeClassifier,76.15230460921843,79.75951903807615
HT,AER_MultiModel,2,Agrawal_Function_6,Expert_5_HoeffdingTreeClassifier,76.15230460921843,79.75951903807615
HT,ShadowExpertModel_HT,2,Agrawal_Function_6,Expert_1_HoeffdingTreeClassifier,77.60000000000001,80.48048048048048
HT,AER_HT,3,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,89.4,82.97730307076101
HT,AER_MultiModel,3,Agrawal_Function_0,Expert_0_HoeffdingTreeClassifier,89.4,82.97730307076101
HT,ShadowExpertModel_HT,3,Agrawal_Function_0,Expert_2_HoeffdingTreeClassifier,79.60000000000001,80.18679119412941
HT,AER_HT,4,Agrawal_Function_6,Expert_2_HoeffdingTreeClassifier,82.39999999999999,82.83283283283284
HT,AER_MultiModel,4,Agrawal_Function_6,Expert_5_HoeffdingTreeClassifier,82.39999999999999,82.83283283283284
HT,ShadowExpertModel_HT,4,Agrawal_Function_6,Expert_3_HoeffdingTreeClassifier,76.2,79.1895947973987
HT,AER_HT,5,Agrawal_Function_0,Expert_3_HoeffdingTreeClassifier,77.9559118236473,81.85822987585102
HT,AER_MultiModel,5,Agrawal_Function_0,Expert_8_SRPClassifier,90.8,84.4275420336269
HT,ShadowExpertModel_HT,5,Agrawal_Function_0,Expert_4_HoeffdingTreeClassifier,79.4,79.23169267707082
HT,AER_HT,6,Agrawal_Function_6,Expert_3_HoeffdingTreeClassifier,81.2,81.74841508174842
HT,AER_MultiModel,6,Agrawal_Function_6,Expert_10_HoeffdingTreeClassifier,79.95991983967936,83.68368368368368
HT,ShadowExpertModel_HT,6,Agrawal_Function_6,Expert_5_HoeffdingTreeClassifier,78.0,79.02634211403802
