evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
NaiveBayes,AER_NaiveBayes,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,AER_MultiModel,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,ShadowExpertModel_NaiveBayes,1,Agrawal_Function_0,Expert_0_GaussianNB,84.16833667334669,84.16833667334669
NaiveBayes,AER_NaiveBayes,2,Agrawal_Function_6,Expert_2_GaussianNB,79.35871743486975,81.76352705410822
NaiveBayes,AER_MultiModel,2,Agrawal_Function_6,Expert_5_GaussianNB,76.95390781563127,80.56112224448898
NaiveBayes,ShadowExpertModel_NaiveBayes,2,Agrawal_Function_6,Expert_1_GaussianNB,79.0,81.58158158158159
NaiveBayes,AER_NaiveBayes,3,Agrawal_Function_0,Expert_3_GaussianNB,84.3687374749499,82.6319305277221
NaiveBayes,AER_MultiModel,3,Agrawal_Function_0,Expert_0_GaussianNB,89.4,83.51134846461949
NaiveBayes,ShadowExpertModel_NaiveBayes,3,Agrawal_Function_0,Expert_2_GaussianNB,80.0,81.05403602401601
NaiveBayes,AER_NaiveBayes,4,Agrawal_Function_6,Expert_5_GaussianNB,80.36072144288578,82.06412825651303
NaiveBayes,AER_MultiModel,4,Agrawal_Function_6,Expert_6_GaussianNB,83.36673346693387,83.47521281922884
NaiveBayes,ShadowExpertModel_NaiveBayes,4,Agrawal_Function_6,Expert_4_GaussianNB,77.2,80.09004502251126
NaiveBayes,AER_NaiveBayes,5,Agrawal_Function_0,Expert_6_GaussianNB,84.3687374749499,82.5250501002004
NaiveBayes,AER_MultiModel,5,Agrawal_Function_0,Expert_0_GaussianNB,88.2,84.42130556668002
NaiveBayes,ShadowExpertModel_NaiveBayes,5,Agrawal_Function_0,Expert_5_GaussianNB,83.39999999999999,80.75230092036814
NaiveBayes,AER_NaiveBayes,6,Agrawal_Function_6,Expert_8_GaussianNB,80.36072144288578,82.16432865731463
NaiveBayes,AER_MultiModel,6,Agrawal_Function_6,Expert_7_GaussianNB,83.16633266533067,84.21228304405875
NaiveBayes,ShadowExpertModel_NaiveBayes,6,Agrawal_Function_6,Expert_6_GaussianNB,79.0,80.46015338446149
