evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
SRP,AER_SRP,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,AER_MultiModel,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,ShadowExpertModel_SRP,1,Agrawal_Function_0,Expert_0_SRPClassifier,94.58917835671342,94.58917835671342
SRP,AER_SRP,2,Agrawal_Function_6,Expert_1_SRPClassifier,75.4,84.98498498498499
SRP,AER_MultiModel,2,Agrawal_Function_6,Expert_2_ARFClassifier,81.6,88.08808808808809
SRP,ShadowExpertModel_SRP,2,Agrawal_Function_6,Expert_1_SRPClassifier,70.8,82.68268268268268
SRP,AER_SRP,3,Agrawal_Function_0,Expert_1_SRPClassifier,81.0,83.65577051367579
SRP,AER_MultiModel,3,Agrawal_Function_0,Expert_6_ARFClassifier,85.6,87.25817211474316
SRP,ShadowExpertModel_SRP,3,Agrawal_Function_0,Expert_1_SRPClassifier,83.2,82.8552368245497
SRP,AER_SRP,4,Agrawal_Function_6,Expert_1_SRPClassifier,69.19999999999999,80.040020010005
SRP,AER_MultiModel,4,Agrawal_Function_6,Expert_9_SRPClassifier,68.93787575150301,82.68268268268268
SRP,ShadowExpertModel_SRP,4,Agrawal_Function_6,Expert_2_SRPClassifier,61.4,77.48874437218609
SRP,AER_SRP,5,Agrawal_Function_0,Expert_2_SRPClassifier,85.2,81.07242897158864
SRP,AER_MultiModel,5,Agrawal_Function_0,Expert_9_SRPClassifier,81.8,82.50600480384307
SRP,ShadowExpertModel_SRP,5,Agrawal_Function_0,Expert_2_SRPClassifier,90.2,80.03201280512204
SRP,AER_SRP,6,Agrawal_Function_6,Expert_3_SRPClassifier,75.35070140280561,80.12008005336891
SRP,AER_MultiModel,6,Agrawal_Function_6,Expert_9_SRPClassifier,65.8,79.71981320880587
SRP,ShadowExpertModel_SRP,6,Agrawal_Function_6,Expert_3_SRPClassifier,69.0,78.19273091030342
