evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
ARF,AER_ARF,1,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,95.7957957957958,95.7957957957958
ARF,AER_MultiModel,1,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,95.7957957957958,95.7957957957958
ARF,ShadowExpertModel_ARF,1,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,95.7957957957958,95.7957957957958
ARF,AER_ARF,2,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,97.34867433716859
ARF,AER_MultiModel,2,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,97.34867433716859
ARF,ShadowExpertModel_ARF,2,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,97.34867433716859
ARF,AER_ARF,3,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.8,97.8326108702901
ARF,AER_MultiModel,3,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.8,97.8326108702901
ARF,ShadowExpertModel_ARF,3,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.8,97.8326108702901
ARF,AER_ARF,4,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.0995248812203
ARF,AER_MultiModel,4,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.0995248812203
ARF,ShadowExpertModel_ARF,4,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.0995248812203
ARF,AER_ARF,5,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.0,98.27965593118624
ARF,AER_MultiModel,5,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.0,98.27965593118624
ARF,ShadowExpertModel_ARF,5,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.0,98.27965593118624
ARF,AER_ARF,6,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.383063843974
ARF,AER_MultiModel,6,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.383063843974
ARF,ShadowExpertModel_ARF,6,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.9,98.383063843974
ARF,AER_ARF,7,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.49978568366909
ARF,AER_MultiModel,7,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.49978568366909
ARF,ShadowExpertModel_ARF,7,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.49978568366909
ARF,AER_ARF,8,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.7,98.52481560195024
ARF,AER_MultiModel,8,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.7,98.52481560195024
ARF,ShadowExpertModel_ARF,8,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.7,98.52481560195024
ARF,AER_ARF,9,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.59984442715857
ARF,AER_MultiModel,9,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.59984442715857
ARF,ShadowExpertModel_ARF,9,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,99.2,98.59984442715857
ARF,AER_ARF,10,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,97.5,98.48984898489849
ARF,AER_MultiModel,10,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,97.5,98.48984898489849
ARF,ShadowExpertModel_ARF,10,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,97.5,98.48984898489849
ARF,AER_ARF,11,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,94.39999999999999,98.11801072824802
ARF,AER_MultiModel,11,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,94.39999999999999,98.11801072824802
ARF,ShadowExpertModel_ARF,11,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,94.39999999999999,98.11801072824802
ARF,AER_ARF,12,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,95.89999999999999,97.93316109675806
ARF,AER_MultiModel,12,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,95.89999999999999,97.93316109675806
ARF,ShadowExpertModel_ARF,12,Synthetic_SEA_Known_Drift,Expert_1_ARFClassifier,93.8,97.75814651220935
ARF,AER_ARF,13,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.4,97.9690745441957
ARF,AER_MultiModel,13,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.4,97.9690745441957
ARF,ShadowExpertModel_ARF,13,Synthetic_SEA_Known_Drift,Expert_1_ARFClassifier,97.6,97.74598046003538
ARF,AER_ARF,14,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.0,97.9712836631188
ARF,AER_MultiModel,14,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.0,97.9712836631188
ARF,ShadowExpertModel_ARF,14,Synthetic_SEA_Known_Drift,Expert_1_ARFClassifier,97.8,97.74983927423388
ARF,AER_ARF,15,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.1,97.97986532435495
ARF,AER_MultiModel,15,Synthetic_SEA_Known_Drift,Expert_0_ARFClassifier,98.1,97.97986532435495
ARF,ShadowExpertModel_ARF,15,Synthetic_SEA_Known_Drift,Expert_1_ARFClassifier,98.3,97.78651910127341
