evaluated_model_type,wrapper_model_name,chunk_index,stream_label,active_model,period_accuracy,cumulative_accuracy
SRP,AER_SRP,1,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,95.09509509509509,95.09509509509509
SRP,AER_MultiModel,1,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,95.09509509509509,95.09509509509509
SRP,ShadowExpertModel_SRP,1,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,95.09509509509509,95.09509509509509
SRP,AER_SRP,2,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.89999999999999,96.49824912456228
SRP,AER_MultiModel,2,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.89999999999999,96.49824912456228
SRP,ShadowExpertModel_SRP,2,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.89999999999999,96.49824912456228
SRP,AER_SRP,3,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.5,97.16572190730244
SRP,AER_MultiModel,3,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.5,97.16572190730244
SRP,ShadowExpertModel_SRP,3,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.5,97.16572190730244
SRP,AER_SRP,4,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.9,97.59939984996248
SRP,AER_MultiModel,4,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.9,97.59939984996248
SRP,ShadowExpertModel_SRP,4,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.9,97.59939984996248
SRP,AER_SRP,5,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,99.1,97.8995799159832
SRP,AER_MultiModel,5,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,99.1,97.8995799159832
SRP,ShadowExpertModel_SRP,5,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,99.1,97.8995799159832
SRP,AER_SRP,6,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.3,97.96632772128689
SRP,AER_MultiModel,6,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.3,97.96632772128689
SRP,ShadowExpertModel_SRP,6,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.3,97.96632772128689
SRP,AER_SRP,7,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.0854407772539
SRP,AER_MultiModel,7,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.0854407772539
SRP,ShadowExpertModel_SRP,7,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.0854407772539
SRP,AER_SRP,8,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.7,98.16227028378547
SRP,AER_MultiModel,8,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.7,98.16227028378547
SRP,ShadowExpertModel_SRP,8,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.7,98.16227028378547
SRP,AER_SRP,9,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.23313701522392
SRP,AER_MultiModel,9,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.23313701522392
SRP,ShadowExpertModel_SRP,9,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,98.8,98.23313701522392
SRP,AER_SRP,10,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.39999999999999,98.14981498149815
SRP,AER_MultiModel,10,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.39999999999999,98.14981498149815
SRP,ShadowExpertModel_SRP,10,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,97.39999999999999,98.14981498149815
SRP,AER_SRP,11,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,93.60000000000001,97.73615783253024
SRP,AER_MultiModel,11,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,93.60000000000001,97.73615783253024
SRP,ShadowExpertModel_SRP,11,Synthetic_SEA_Known_Drift,Expert_0_SRPClassifier,93.60000000000001,97.73615783253024
SRP,AER_SRP,12,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,95.1,97.51645970497542
SRP,AER_MultiModel,12,Synthetic_SEA_Known_Drift,Expert_2_ARFClassifier,95.19999999999999,97.52479373281106
SRP,ShadowExpertModel_SRP,12,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,91.4,97.20810067505626
SRP,AER_SRP,13,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,98.6,97.59981537041311
SRP,AER_MultiModel,13,Synthetic_SEA_Known_Drift,Expert_2_ARFClassifier,98.3,97.58442957150551
SRP,ShadowExpertModel_SRP,13,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,97.0,97.1920916993615
SRP,AER_SRP,14,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,98.4,97.65697549824988
SRP,AER_MultiModel,14,Synthetic_SEA_Known_Drift,Expert_2_ARFClassifier,98.5,97.64983213086649
SRP,ShadowExpertModel_SRP,14,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,99.0,97.32123723123081
SRP,AER_SRP,15,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,98.3,97.69984665644377
SRP,AER_MultiModel,15,Synthetic_SEA_Known_Drift,Expert_2_ARFClassifier,98.6,97.71318087872525
SRP,ShadowExpertModel_SRP,15,Synthetic_SEA_Known_Drift,Expert_1_SRPClassifier,98.6,97.40649376625107
